generic_chemical_label,generic_chemical_class,plain_language_description,typical_mapping_evidence,do_not_map_if,mapping_confidence_notes,rtd_reliability_notes,model_scope_notes
acrylic_polymer_01,acrylic_polymer_dispersant,Generic acrylic polymer or acrylic polymer dispersant service.,"SDS or product function indicates acrylic polymer, polyacrylate, dispersant, or polymeric dispersing agent.","Do not use for acrylic monomer, solvent, or unrelated polymer chemistry.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review for viscosity, fouling, precipitation, coagulation, and representative temperature measurement.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
alkaline_silicate_01,alkaline_silicate,Generic alkaline silicate service.,SDS or formula review indicates silicate chemistry in an alkaline material.,Do not use for generic caustic if silicate chemistry is not present.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review gel, precipitation, coating, and thermowell fouling potential before crediting RTD.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
alkanolamine_01,alkanolamine,Generic alkanolamine service.,SDS or formulation indicates ethanolamine/alkanolamine-type basic organic amine functionality.,"Do not use for ammonia/volatile amine bases, strong caustic, or quaternary ammonium materials without review.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review acid/base heat release, volatility, gas/vapor concerns, and mixing before crediting RTD.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
amine_oxide_surfactant_01,amine_oxide_surfactant,Generic amine oxide surfactant service.,SDS or formulation indicates amine oxide surfactant behavior.,"Do not use for generic amines, alkanolamines, or quaternary ammonium biocides.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review surfactant foaming, emulsification, and oxidizer/amine-oxide incompatibility concerns.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
amphoteric_surfactant_01,amphoteric_surfactant,Generic amphoteric surfactant service.,SDS or formulation indicates amphoteric/zwitterionic surfactant behavior.,"Do not use for anionic, nonionic, acidic anionic, or amine oxide surfactants unless mapped deliberately.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review foaming, phase behavior, and representative bulk temperature measurement.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
anionic_surfactant_01,anionic_surfactant,Generic anionic surfactant service.,SDS or formulation indicates anionic surfactant behavior without the stronger acidic-anionic classification.,"Do not use for acidic anionic surfactants, nonionic surfactants, or amphoteric surfactants unless SME review supports the mapping.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review foaming, emulsification, coating, and mixing limitations.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
aromatic_alcohol_01,aromatic_alcohol,Generic aromatic alcohol / organic reducing material.,SDS or compatibility review indicates aromatic alcohol or organic reducer behavior relevant to oxidizer reactions.,Do not use for generic alcohols or solvents without confirming oxidizer/reducer relevance.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,Oxidizer-organic reactions may be fire/pressure dominated; do not assume RTD is creditable without mechanism review.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
chelant_01,chelating_agent,Generic chelant or sequestrant service.,SDS or formulation indicates chelating/sequestering function or metal-complexing behavior.,Do not use for generic acids or salts unless chelation/complexation is a key mechanism.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Review metal-complex, precipitation, and nonthermal mechanism dominance before crediting RTD.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
chelant_02,chelating_agent,Generic chelant or sequestrant service.,SDS or formulation indicates chelating/sequestering function or metal-complexing behavior.,Do not use for generic acids or salts unless chelation/complexation is a key mechanism.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Review metal-complex, precipitation, and nonthermal mechanism dominance before crediting RTD.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
chlorinated_oxidizer_01,chlorinated_oxidizer,Generic chlorinated oxidizer service.,SDS or compatibility review indicates hypochlorite/chlorinated oxidizer behavior.,Do not use for nonchlorinated oxidizers or oxidizing acids unless the chlorinated oxidizer mechanism is applicable.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Often involves toxic gas, gas generation, pressure, or oxidizer-organic pathways; RTD may be wrong safeguard type.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
